Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
0.0060,0,44.3485,-18.8669,-40.1352,0.0000
0.0060,1,196.1991,0.0000,-196.1991,392.3976
0.0300,0,44.3343,-18.8656,-40.1201,0.0000
0.0300,1,196.1994,0.0000,-196.1994,392.3985
0.0440,0,44.3235,-18.8593,-40.1111,0.0000
0.0440,1,196.1994,0.0000,-196.1994,392.3985
0.0720,0,44.3150,-18.8667,-40.0982,0.0000
0.0720,1,196.1994,0.0000,-196.1994,392.3985
0.1040,0,44.3029,-18.8694,-40.0836,0.0000
0.1040,1,196.1994,0.0000,-196.1994,392.3985
0.1380,0,44.2886,-18.8707,-40.0671,0.0000
0.1380,1,196.1994,0.0000,-196.1994,392.3985
0.1720,0,44.2777,-18.8657,-40.0574,0.0000
0.1720,1,196.1994,0.0000,-196.1994,392.3986
0.2040,0,44.2838,-18.8609,-40.0665,0.0000
0.2040,1,196.1994,0.0000,-196.1994,392.3986
0.2380,0,44.2559,-18.8373,-40.0468,0.0000
0.2380,1,196.2001,0.0001,-196.2001,392.4002
0.2700,0,44.2688,-18.8220,-40.0681,0.0000
0.2700,1,196.1996,0.0000,-196.1996,392.3990
0.3040,0,44.2862,-18.8358,-40.0809,0.0000
0.3040,1,196.1996,0.0000,-196.1996,392.3990
0.3360,0,44.2977,-18.8406,-40.0914,0.0000
0.3360,1,196.1996,0.0000,-196.1996,392.3990
0.3700,0,44.3067,-18.8444,-40.0996,0.0000
0.3700,1,196.1996,0.0000,-196.1996,392.3990
0.4040,0,44.3133,-18.8472,-40.1056,0.0000
0.4040,1,196.1996,0.0000,-196.1996,392.3990
0.4360,0,44.3191,-18.8496,-40.1108,0.0000
0.4360,1,196.1996,0.0000,-196.1996,392.3990
0.4700,0,44.3226,-18.8510,-40.1139,0.0000
0.4700,1,196.1996,0.0000,-196.1996,392.3990
0.5020,0,44.3251,-18.8521,-40.1163,0.0000
0.5020,1,196.1996,0.0000,-196.1996,392.3990
0.5360,0,44.3280,-18.8533,-40.1189,0.0000
0.5360,1,196.1996,0.0000,-196.1996,392.3990
0.5700,0,44.3301,-18.8542,-40.1208,0.0000
0.5700,1,196.1996,0.0000,-196.1996,392.3990
