Timp,ID_Corp,PozitieX,PozitieY,UnghiPhi,VitezaX,VitezaY,VitezaOmega,AcceleratieX,AcceleratieY,AcceleratieEpsilon
0.0080,1,4.9240,0.8682,0.1745,0.0024,-0.0134,-0.0027,0.0000,0.0000,0.0000
0.0080,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0080,3,8.2406,2.2145,0.0000,0.0000,-0.0392,0.0000,0.0000,0.0000,0.0000
0.0260,1,4.9241,0.8680,0.1745,0.0032,-0.0181,-0.0037,0.0000,0.0000,0.0000
0.0260,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0260,3,8.2406,2.2138,0.0000,0.0000,-0.1275,0.0000,0.0000,0.0000,0.0000
0.0420,1,4.9241,0.8678,0.1745,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.0420,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0420,3,8.2406,2.2125,0.0000,0.0000,-0.2058,0.0000,0.0000,0.0000,0.0000
0.0700,1,4.9242,0.8675,0.1744,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.0700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0700,3,8.2406,2.2086,0.0000,0.0000,-0.3429,0.0000,0.0000,0.0000,0.0000
0.1040,1,4.9242,0.8672,0.1743,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.1040,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.1040,3,8.2406,2.2014,0.0000,0.0000,-0.5091,0.0000,0.0000,0.0000,0.0000
0.1360,1,4.9243,0.8668,0.1742,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.1360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.1360,3,8.2406,2.1920,0.0000,0.0000,-0.6653,0.0000,0.0000,0.0000,0.0000
0.1700,1,4.9244,0.8665,0.1742,0.0028,-0.0159,-0.0032,0.0000,0.0000,0.0000
0.1700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.1700,3,8.2406,2.1793,0.0000,0.0000,-0.8311,0.0000,0.0000,0.0000,0.0000
0.2040,1,4.9244,0.8662,0.1741,0.0018,-0.0103,-0.0021,0.0000,0.0000,0.0000
0.2040,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.2040,3,8.2406,2.1637,0.0000,0.0000,-0.9966,0.0000,0.0000,0.0000,0.0000
0.2360,1,4.9246,0.8652,0.1739,0.0026,-0.0148,-0.0030,0.0000,0.0000,0.0000
0.2360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.2360,3,8.2406,2.1579,-0.0002,0.0000,-0.0282,-0.0047,0.0000,0.0000,0.0000
0.2700,1,4.9246,0.8651,0.1739,-0.0004,0.0025,0.0005,0.0000,0.0000,0.0000
0.2700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.2700,3,8.2405,2.1577,-0.0003,-0.0071,0.0016,-0.0006,0.0000,0.0000,0.0000
0.3040,1,4.9246,0.8650,0.1739,-0.0006,0.0032,0.0007,0.0000,0.0000,0.0000
0.3040,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.3040,3,8.2403,2.1577,-0.0003,-0.0075,0.0029,-0.0004,0.0000,0.0000,0.0000
0.3360,1,4.9246,0.8650,0.1739,-0.0006,0.0033,0.0007,0.0000,0.0000,0.0000
0.3360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.3360,3,8.2402,2.1577,-0.0003,-0.0075,0.0031,-0.0004,0.0000,0.0000,0.0000
0.3700,1,4.9246,0.8650,0.1739,-0.0006,0.0034,0.0007,0.0000,0.0000,0.0000
0.3700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.3700,3,8.2401,2.1576,-0.0003,-0.0075,0.0032,-0.0003,0.0000,0.0000,0.0000
0.4020,1,4.9246,0.8650,0.1739,-0.0006,0.0034,0.0007,0.0000,0.0000,0.0000
0.4020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.4020,3,8.2400,2.1576,-0.0003,-0.0075,0.0032,-0.0003,0.0000,0.0000,0.0000
0.4360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.4360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.4360,3,8.2398,2.1576,-0.0003,-0.0076,0.0033,-0.0003,0.0000,0.0000,0.0000
0.4680,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.4680,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.4680,3,8.2397,2.1575,-0.0003,-0.0076,0.0033,-0.0003,0.0000,0.0000,0.0000
0.5020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.5020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.5020,3,8.2396,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.5340,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.5340,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.5340,3,8.2395,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.5700,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.5700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.5700,3,8.2393,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6020,3,8.2392,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6340,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6340,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6340,3,8.2391,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6700,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6700,3,8.2389,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7020,3,8.2388,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7360,3,8.2387,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7740,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7740,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7740,3,8.2386,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8020,3,8.2384,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8360,3,8.2383,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8680,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8680,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8680,3,8.2382,2.1573,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
