Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
0.0040,0,44.3548,-18.8668,-40.1421,0.0000
0.0040,1,196.1986,0.0000,-196.1986,392.3965
0.0150,0,44.3441,-18.8632,-40.1320,0.0000
0.0150,1,196.1990,0.0001,-196.1990,392.3975
0.0250,0,44.3231,-18.8566,-40.1120,0.0000
0.0250,1,196.1990,0.0000,-196.1990,392.3975
0.0410,0,44.3057,-18.8656,-40.0885,0.0000
0.0410,1,196.1990,0.0001,-196.1990,392.3974
0.0560,0,44.2906,-18.8759,-40.0669,0.0000
0.0560,1,196.1990,0.0001,-196.1990,392.3975
0.0730,0,44.2710,-18.8836,-40.0416,0.0000
0.0730,1,196.1990,0.0001,-196.1990,392.3975
0.0900,0,44.2622,-18.8832,-40.0321,0.0000
0.0900,1,196.1990,0.0001,-196.1990,392.3976
0.1070,0,44.0184,-18.8089,-39.7975,0.0000
0.1070,1,196.1991,0.0001,-196.1991,392.3976
0.1240,0,44.2473,-18.8518,-40.0303,0.0000
0.1240,1,196.1997,0.0001,-196.1997,392.3992
0.1400,0,44.2520,-18.8487,-40.0371,0.0000
0.1400,1,196.1994,0.0001,-196.1994,392.3984
0.1580,0,44.2812,-18.8608,-40.0637,0.0000
0.1580,1,196.1994,0.0001,-196.1994,392.3984
0.1730,0,44.2983,-18.8680,-40.0791,0.0000
0.1730,1,196.1994,0.0001,-196.1994,392.3984
0.1900,0,44.3126,-18.8741,-40.0921,0.0000
0.1900,1,196.1994,0.0001,-196.1994,392.3984
0.2070,0,44.3229,-18.8784,-40.1014,0.0000
0.2070,1,196.1994,0.0001,-196.1994,392.3984
0.2220,0,44.3310,-18.8818,-40.1088,0.0000
0.2220,1,196.1994,0.0001,-196.1994,392.3984
0.2400,0,44.3361,-18.8840,-40.1134,0.0000
0.2400,1,196.1994,0.0001,-196.1994,392.3984
0.2560,0,44.3405,-18.8858,-40.1174,0.0000
0.2560,1,196.1994,0.0001,-196.1994,392.3984
0.2720,0,44.3448,-18.8876,-40.1213,0.0000
0.2720,1,196.1993,0.0001,-196.1993,392.3984
0.2890,0,44.3480,-18.8890,-40.1242,0.0000
0.2890,1,196.1994,0.0001,-196.1994,392.3985
0.3060,0,44.3480,-18.8890,-40.1242,0.0000
0.3060,1,196.1994,0.0001,-196.1994,392.3984
0.3230,0,44.3480,-18.8890,-40.1242,0.0000
0.3230,1,196.1994,0.0001,-196.1994,392.3984
0.3390,0,44.3480,-18.8890,-40.1242,0.0000
0.3390,1,196.1994,0.0001,-196.1994,392.3984
0.3550,0,44.3480,-18.8890,-40.1242,0.0000
0.3550,1,196.1994,0.0001,-196.1994,392.3984
0.3720,0,44.3480,-18.8890,-40.1242,0.0000
0.3720,1,196.1994,0.0001,-196.1994,392.3984
0.3890,0,44.3480,-18.8890,-40.1242,0.0000
0.3890,1,196.1993,0.0001,-196.1993,392.3983
0.4050,0,44.3480,-18.8890,-40.1242,0.0000
0.4050,1,196.1993,0.0001,-196.1993,392.3983
0.4220,0,44.3480,-18.8890,-40.1242,0.0000
0.4220,1,196.1993,0.0001,-196.1993,392.3983
0.4390,0,44.3480,-18.8890,-40.1242,0.0000
0.4390,1,196.1994,0.0001,-196.1994,392.3984
0.4550,0,44.3480,-18.8890,-40.1242,0.0000
0.4550,1,196.1994,0.0001,-196.1994,392.3984
0.4720,0,44.3480,-18.8890,-40.1242,0.0000
0.4720,1,196.1993,0.0001,-196.1993,392.3983
0.4900,0,44.3480,-18.8890,-40.1242,0.0000
0.4900,1,196.1994,0.0001,-196.1994,392.3984
0.5050,0,44.3480,-18.8890,-40.1242,0.0000
0.5050,1,196.1993,0.0001,-196.1993,392.3983
0.5220,0,44.3480,-18.8890,-40.1242,0.0000
0.5220,1,196.1994,0.0001,-196.1994,392.3984
0.5400,0,44.3480,-18.8890,-40.1242,0.0000
0.5400,1,196.1994,0.0001,-196.1994,392.3984
0.5560,0,44.3480,-18.8890,-40.1242,0.0000
0.5560,1,196.1993,0.0001,-196.1993,392.3983
0.5730,0,44.3480,-18.8890,-40.1242,0.0000
0.5730,1,196.1994,0.0001,-196.1994,392.3984
0.5900,0,44.3480,-18.8890,-40.1242,0.0000
0.5900,1,196.1994,0.0001,-196.1994,392.3984
0.6050,0,44.3480,-18.8890,-40.1242,0.0000
0.6050,1,196.1994,0.0001,-196.1994,392.3984
0.6230,0,44.3480,-18.8890,-40.1242,0.0000
0.6230,1,196.1994,0.0001,-196.1994,392.3984
0.6380,0,44.3480,-18.8890,-40.1242,0.0000
0.6380,1,196.1994,0.0001,-196.1994,392.3984
0.6550,0,44.3480,-18.8890,-40.1242,0.0000
0.6550,1,196.1994,0.0001,-196.1994,392.3984
0.6720,0,44.3480,-18.8890,-40.1242,0.0000
0.6720,1,196.1993,0.0001,-196.1993,392.3983
0.6890,0,44.3480,-18.8890,-40.1242,0.0000
0.6890,1,196.1994,0.0001,-196.1994,392.3984
0.7060,0,44.3480,-18.8890,-40.1242,0.0000
0.7060,1,196.1994,0.0001,-196.1994,392.3984
0.7230,0,44.3480,-18.8890,-40.1242,0.0000
0.7230,1,196.1994,0.0001,-196.1994,392.3984
0.7390,0,44.3480,-18.8890,-40.1242,0.0000
0.7390,1,196.1994,0.0001,-196.1994,392.3984
0.7560,0,44.3480,-18.8890,-40.1242,0.0000
0.7560,1,196.1994,0.0001,-196.1994,392.3984
0.7720,0,44.3480,-18.8890,-40.1242,0.0000
0.7720,1,196.1994,0.0001,-196.1994,392.3984
0.7890,0,44.3480,-18.8890,-40.1242,0.0000
0.7890,1,196.1993,0.0001,-196.1993,392.3984
0.8060,0,44.3480,-18.8890,-40.1242,0.0000
0.8060,1,196.1994,0.0001,-196.1994,392.3984
0.8220,0,44.3480,-18.8890,-40.1242,0.0000
0.8220,1,196.1994,0.0001,-196.1994,392.3984
0.8390,0,44.3480,-18.8890,-40.1242,0.0000
0.8390,1,196.1994,0.0001,-196.1994,392.3985
0.8550,0,44.3480,-18.8890,-40.1242,0.0000
0.8550,1,196.1994,0.0001,-196.1994,392.3985
0.8720,0,44.3480,-18.8890,-40.1242,0.0000
0.8720,1,196.1994,0.0001,-196.1994,392.3984
0.8890,0,44.3480,-18.8890,-40.1242,0.0000
0.8890,1,196.1994,0.0001,-196.1994,392.3984
0.9050,0,44.3480,-18.8890,-40.1242,0.0000
0.9050,1,196.1993,0.0001,-196.1993,392.3983
0.9200,0,44.3480,-18.8890,-40.1242,0.0000
0.9200,1,196.1993,0.0001,-196.1993,392.3983
0.9390,0,44.3480,-18.8890,-40.1242,0.0000
0.9390,1,196.1994,0.0001,-196.1994,392.3984
0.9550,0,44.3480,-18.8890,-40.1242,0.0000
0.9550,1,196.1993,0.0001,-196.1993,392.3983
0.9710,0,44.3480,-18.8890,-40.1242,0.0000
0.9710,1,196.1993,0.0001,-196.1993,392.3983
0.9890,0,44.3480,-18.8890,-40.1242,0.0000
0.9890,1,196.1994,0.0001,-196.1994,392.3984
1.0050,0,44.3480,-18.8890,-40.1242,0.0000
1.0050,1,196.1993,0.0001,-196.1993,392.3983
1.0210,0,44.3480,-18.8890,-40.1242,0.0000
1.0210,1,196.1993,0.0001,-196.1993,392.3983
1.0370,0,44.3480,-18.8890,-40.1242,0.0000
1.0370,1,196.1993,0.0001,-196.1993,392.3983
1.0550,0,44.3480,-18.8890,-40.1242,0.0000
1.0550,1,196.1994,0.0001,-196.1994,392.3984
1.0700,0,44.3480,-18.8890,-40.1242,0.0000
1.0700,1,196.1993,0.0001,-196.1993,392.3983
1.0870,0,44.3480,-18.8890,-40.1242,0.0000
1.0870,1,196.1993,0.0001,-196.1993,392.3983
1.1040,0,44.3480,-18.8890,-40.1242,0.0000
1.1040,1,196.1994,0.0001,-196.1994,392.3984
1.1200,0,44.3480,-18.8890,-40.1242,0.0000
1.1200,1,196.1993,0.0001,-196.1993,392.3983
1.1370,0,44.3480,-18.8890,-40.1242,0.0000
1.1370,1,196.1994,0.0001,-196.1994,392.3984
1.1530,0,44.3480,-18.8890,-40.1242,0.0000
1.1530,1,196.1994,0.0001,-196.1994,392.3984
1.1710,0,44.3480,-18.8890,-40.1242,0.0000
1.1710,1,196.1994,0.0001,-196.1994,392.3984
1.1880,0,44.3480,-18.8890,-40.1242,0.0000
1.1880,1,196.1993,0.0001,-196.1993,392.3983
1.2040,0,44.3480,-18.8890,-40.1242,0.0000
1.2040,1,196.1993,0.0001,-196.1993,392.3983
1.2210,0,44.3480,-18.8890,-40.1242,0.0000
1.2210,1,196.1994,0.0001,-196.1994,392.3984
1.2380,0,44.3480,-18.8890,-40.1242,0.0000
1.2380,1,196.1993,0.0001,-196.1993,392.3983
1.2530,0,44.3480,-18.8890,-40.1242,0.0000
1.2530,1,196.1994,0.0001,-196.1994,392.3984
1.2700,0,44.3480,-18.8890,-40.1242,0.0000
1.2700,1,196.1993,0.0001,-196.1993,392.3983
1.2870,0,44.3480,-18.8890,-40.1242,0.0000
1.2870,1,196.1994,0.0001,-196.1994,392.3984
1.3050,0,44.3480,-18.8890,-40.1242,0.0000
1.3050,1,196.1994,0.0001,-196.1994,392.3984
1.3210,0,44.3480,-18.8890,-40.1242,0.0000
1.3210,1,196.1994,0.0001,-196.1994,392.3984
1.3370,0,44.3480,-18.8890,-40.1242,0.0000
1.3370,1,196.1994,0.0001,-196.1994,392.3984
1.3540,0,44.3480,-18.8890,-40.1242,0.0000
1.3540,1,196.1993,0.0001,-196.1993,392.3983
1.3700,0,44.3480,-18.8890,-40.1242,0.0000
1.3700,1,196.1993,0.0001,-196.1993,392.3983
1.3860,0,44.3480,-18.8890,-40.1242,0.0000
1.3860,1,196.1994,0.0001,-196.1994,392.3984
1.4040,0,44.3480,-18.8890,-40.1242,0.0000
1.4040,1,196.1993,0.0001,-196.1993,392.3984
1.4210,0,44.3480,-18.8890,-40.1242,0.0000
1.4210,1,196.1994,0.0001,-196.1994,392.3984
1.4370,0,44.3480,-18.8890,-40.1242,0.0000
1.4370,1,196.1994,0.0001,-196.1994,392.3984
1.4540,0,44.3480,-18.8890,-40.1242,0.0000
1.4540,1,196.1993,0.0001,-196.1993,392.3984
1.4710,0,44.3480,-18.8890,-40.1242,0.0000
1.4710,1,196.1993,0.0001,-196.1993,392.3984
1.4870,0,44.3480,-18.8890,-40.1242,0.0000
1.4870,1,196.1994,0.0001,-196.1994,392.3984
1.5040,0,44.3480,-18.8890,-40.1242,0.0000
1.5040,1,196.1993,0.0001,-196.1993,392.3983
1.5200,0,44.3480,-18.8890,-40.1242,0.0000
1.5200,1,196.1993,0.0001,-196.1993,392.3983
1.5370,0,44.3480,-18.8890,-40.1242,0.0000
1.5370,1,196.1993,0.0001,-196.1993,392.3983
1.5540,0,44.3480,-18.8890,-40.1242,0.0000
1.5540,1,196.1993,0.0001,-196.1993,392.3983
1.5700,0,44.3480,-18.8890,-40.1242,0.0000
1.5700,1,196.1994,0.0001,-196.1994,392.3984
1.5870,0,44.3480,-18.8890,-40.1242,0.0000
1.5870,1,196.1993,0.0001,-196.1993,392.3983
1.6030,0,44.3480,-18.8890,-40.1242,0.0000
1.6030,1,196.1994,0.0001,-196.1994,392.3984
1.6200,0,44.3480,-18.8890,-40.1242,0.0000
1.6200,1,196.1993,0.0001,-196.1993,392.3983
1.6370,0,44.3480,-18.8890,-40.1242,0.0000
1.6370,1,196.1994,0.0001,-196.1994,392.3984
1.6540,0,44.3480,-18.8890,-40.1242,0.0000
1.6540,1,196.1993,0.0001,-196.1993,392.3983
1.6700,0,44.3480,-18.8890,-40.1242,0.0000
1.6700,1,196.1994,0.0001,-196.1994,392.3984
1.6870,0,44.3480,-18.8890,-40.1242,0.0000
1.6870,1,196.1994,0.0001,-196.1994,392.3984
1.7040,0,44.3480,-18.8890,-40.1242,0.0000
1.7040,1,196.1994,0.0001,-196.1994,392.3984
1.7220,0,44.3480,-18.8890,-40.1242,0.0000
1.7220,1,196.1994,0.0001,-196.1994,392.3984
1.7370,0,44.3480,-18.8890,-40.1242,0.0000
1.7370,1,196.1993,0.0001,-196.1993,392.3983
1.7530,0,44.3480,-18.8890,-40.1242,0.0000
1.7530,1,196.1994,0.0001,-196.1994,392.3984
1.7700,0,44.3480,-18.8890,-40.1242,0.0000
1.7700,1,196.1993,0.0001,-196.1993,392.3983
1.7870,0,44.3480,-18.8890,-40.1242,0.0000
1.7870,1,196.1994,0.0001,-196.1994,392.3984
1.8030,0,44.3480,-18.8890,-40.1242,0.0000
1.8030,1,196.1993,0.0001,-196.1993,392.3983
1.8200,0,44.3480,-18.8890,-40.1242,0.0000
1.8200,1,196.1994,0.0001,-196.1994,392.3984
1.8370,0,44.3480,-18.8890,-40.1242,0.0000
1.8370,1,196.1993,0.0001,-196.1993,392.3983
1.8540,0,44.3480,-18.8890,-40.1243,0.0000
1.8540,1,196.1994,0.0001,-196.1994,392.3984
1.8700,0,44.3480,-18.8890,-40.1242,0.0000
1.8700,1,196.1994,0.0001,-196.1994,392.3984
1.8870,0,44.3480,-18.8890,-40.1243,0.0000
1.8870,1,196.1994,0.0001,-196.1994,392.3984
1.9030,0,44.3480,-18.8890,-40.1242,0.0000
1.9030,1,196.1994,0.0001,-196.1994,392.3984
1.9200,0,44.3480,-18.8890,-40.1242,0.0000
1.9200,1,196.1994,0.0001,-196.1994,392.3984
1.9370,0,44.3480,-18.8890,-40.1242,0.0000
1.9370,1,196.1994,0.0001,-196.1994,392.3984
1.9530,0,44.3480,-18.8890,-40.1243,0.0000
1.9530,1,196.1993,0.0001,-196.1993,392.3984
1.9710,0,44.3480,-18.8890,-40.1242,0.0000
1.9710,1,196.1994,0.0001,-196.1994,392.3984
1.9870,0,44.3480,-18.8890,-40.1242,0.0000
1.9870,1,196.1994,0.0001,-196.1994,392.3984
2.0030,0,44.3480,-18.8890,-40.1242,0.0000
2.0030,1,196.1994,0.0001,-196.1994,392.3984
2.0200,0,44.3480,-18.8890,-40.1242,0.0000
2.0200,1,196.1994,0.0001,-196.1994,392.3984
2.0360,0,44.3480,-18.8890,-40.1242,0.0000
2.0360,1,196.1994,0.0001,-196.1994,392.3984
2.0530,0,44.3480,-18.8890,-40.1242,0.0000
2.0530,1,196.1994,0.0001,-196.1994,392.3984
2.0700,0,44.3480,-18.8890,-40.1243,0.0000
2.0700,1,196.1994,0.0001,-196.1994,392.3984
2.0870,0,44.3480,-18.8890,-40.1242,0.0000
2.0870,1,196.1994,0.0001,-196.1994,392.3984
2.1030,0,44.3480,-18.8890,-40.1243,0.0000
2.1030,1,196.1994,0.0001,-196.1994,392.3984
2.1200,0,44.3480,-18.8890,-40.1243,0.0000
2.1200,1,196.1994,0.0001,-196.1994,392.3984
2.1360,0,44.3480,-18.8890,-40.1243,0.0000
2.1360,1,196.1993,0.0001,-196.1993,392.3983
2.1530,0,44.3480,-18.8890,-40.1243,0.0000
2.1530,1,196.1994,0.0001,-196.1994,392.3984
2.1710,0,44.3480,-18.8890,-40.1243,0.0000
2.1710,1,196.1993,0.0001,-196.1993,392.3983
2.1870,0,44.3480,-18.8890,-40.1243,0.0000
2.1870,1,196.1993,0.0001,-196.1993,392.3983
2.2030,0,44.3480,-18.8890,-40.1243,0.0000
2.2030,1,196.1993,0.0001,-196.1993,392.3983
2.2210,0,44.3480,-18.8890,-40.1243,0.0000
2.2210,1,196.1993,0.0001,-196.1993,392.3983
2.2370,0,44.3480,-18.8890,-40.1243,0.0000
2.2370,1,196.1994,0.0001,-196.1994,392.3984
2.2540,0,44.3480,-18.8890,-40.1243,0.0000
2.2540,1,196.1994,0.0001,-196.1994,392.3984
2.2700,0,44.3480,-18.8890,-40.1243,0.0000
2.2700,1,196.1994,0.0001,-196.1994,392.3984
2.2870,0,44.3480,-18.8890,-40.1243,0.0000
2.2870,1,196.1994,0.0001,-196.1994,392.3984
2.3030,0,44.3480,-18.8890,-40.1243,0.0000
2.3030,1,196.1994,0.0001,-196.1994,392.3984
2.3200,0,44.3480,-18.8890,-40.1243,0.0000
2.3200,1,196.1994,0.0001,-196.1994,392.3984
2.3370,0,44.3480,-18.8890,-40.1243,0.0000
2.3370,1,196.1993,0.0001,-196.1993,392.3983
2.3540,0,44.3480,-18.8890,-40.1243,0.0000
2.3540,1,196.1993,0.0001,-196.1993,392.3984
2.3700,0,44.3480,-18.8890,-40.1243,0.0000
2.3700,1,196.1994,0.0001,-196.1994,392.3984
2.3870,0,44.3480,-18.8890,-40.1243,0.0000
2.3870,1,196.1994,0.0001,-196.1994,392.3984
2.4040,0,44.3480,-18.8890,-40.1243,0.0000
2.4040,1,196.1994,0.0001,-196.1994,392.3984
2.4210,0,44.3480,-18.8890,-40.1243,0.0000
2.4210,1,196.1994,0.0001,-196.1994,392.3984
2.4370,0,44.3480,-18.8890,-40.1243,0.0000
2.4370,1,196.1993,0.0001,-196.1993,392.3983
2.4530,0,44.3480,-18.8890,-40.1243,0.0000
2.4530,1,196.1994,0.0001,-196.1994,392.3984
2.4700,0,44.3480,-18.8890,-40.1243,0.0000
2.4700,1,196.1993,0.0001,-196.1993,392.3983
2.4870,0,44.3480,-18.8890,-40.1243,0.0000
2.4870,1,196.1994,0.0001,-196.1994,392.3984
2.5030,0,44.3480,-18.8890,-40.1243,0.0000
2.5030,1,196.1994,0.0001,-196.1994,392.3984
2.5200,0,44.3480,-18.8890,-40.1243,0.0000
2.5200,1,196.1994,0.0001,-196.1994,392.3984
2.5370,0,44.3480,-18.8890,-40.1243,0.0000
2.5370,1,196.1994,0.0001,-196.1994,392.3984
2.5530,0,44.3480,-18.8890,-40.1243,0.0000
2.5530,1,196.1994,0.0001,-196.1994,392.3984
2.5700,0,44.3480,-18.8890,-40.1243,0.0000
2.5700,1,196.1994,0.0001,-196.1994,392.3984
2.5870,0,44.3480,-18.8890,-40.1243,0.0000
2.5870,1,196.1993,0.0001,-196.1993,392.3984
2.6030,0,44.3480,-18.8890,-40.1243,0.0000
2.6030,1,196.1994,0.0001,-196.1994,392.3984
2.6200,0,44.3480,-18.8890,-40.1243,0.0000
2.6200,1,196.1994,0.0001,-196.1994,392.3984
2.6370,0,44.3480,-18.8890,-40.1243,0.0000
2.6370,1,196.1993,0.0001,-196.1993,392.3983
2.6530,0,44.3480,-18.8890,-40.1243,0.0000
2.6530,1,196.1994,0.0001,-196.1994,392.3984
2.6700,0,44.3480,-18.8890,-40.1243,0.0000
2.6700,1,196.1994,0.0001,-196.1994,392.3984
2.6870,0,44.3480,-18.8890,-40.1243,0.0000
2.6870,1,196.1994,0.0001,-196.1994,392.3985
2.7030,0,44.3480,-18.8890,-40.1243,0.0000
2.7030,1,196.1993,0.0001,-196.1993,392.3983
2.7200,0,44.3480,-18.8890,-40.1243,0.0000
2.7200,1,196.1993,0.0001,-196.1993,392.3983
2.7370,0,44.3480,-18.8890,-40.1243,0.0000
2.7370,1,196.1994,0.0001,-196.1994,392.3984
2.7370,0,0.0000,0.0000,0.0000,0.0000
2.7370,1,0.0000,0.0000,0.0000,0.0000
2.7370,2,0.0000,0.0000,0.0000,0.0000
2.7540,0,1.5492,-0.2004,-1.5362,0.0000
2.7540,1,0.7269,-0.1979,0.6994,0.0000
2.7540,2,8955204.0000,19.6800,-8955204.0000,627.2407
2.7710,0,1.6411,-0.7959,-1.4352,0.0000
2.7710,1,0.9774,-0.7870,0.5796,0.0000
2.7710,2,8961426.0000,19.7025,-8961426.0000,618.0528
2.7870,0,2.2067,-1.7512,-1.3427,0.0000
2.7870,1,1.7933,-1.7321,0.4646,0.0000
2.7870,2,8967282.0000,19.7268,-8967282.0000,611.8384
2.8040,0,3.3989,-3.1604,-1.2508,0.0000
2.8040,1,3.1434,-3.1253,0.3370,0.0000
2.8040,2,8973502.0000,19.7515,-8973502.0000,604.8037
2.8210,0,5.1144,-4.9788,-1.1698,0.0000
2.8210,1,4.9265,-4.9224,0.1989,0.0000
2.8210,2,8979671.0000,19.8154,-8979671.0000,596.6890
2.8370,0,7.1656,-7.0792,-1.1091,0.0000
