Timp,ID_Corp,PozitieX,PozitieY,UnghiPhi,VitezaX,VitezaY,VitezaOmega,AcceleratieX,AcceleratieY,AcceleratieEpsilon
0.003000,1,4.924043,0.868216,0.174528,0.002026,-0.011493,-0.002334,0.000000,0.000000,0.000000
0.003000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.003000,3,8.240629,2.214571,0.000000,0.000000,-0.029427,0.000000,0.000000,0.000000,0.000000
0.014000,1,4.924082,0.867999,0.174484,0.003202,-0.018163,-0.003689,0.000000,0.000000,0.000000
0.014000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.014000,3,8.240629,2.213654,0.000000,0.000000,-0.137265,0.000000,0.000000,0.000000,0.000000
0.022000,1,4.924112,0.867824,0.174448,0.003231,-0.018336,-0.003724,0.000000,0.000000,0.000000
0.022000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.022000,3,8.240629,2.212242,0.000000,0.000000,-0.215634,0.000000,0.000000,0.000000,0.000000
0.030000,1,4.924143,0.867649,0.174413,0.003233,-0.018348,-0.003726,0.000000,0.000000,0.000000
0.030000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,3,8.240629,2.210204,0.000000,0.000000,-0.293955,0.000000,0.000000,0.000000,0.000000
0.039000,1,4.924177,0.867452,0.174373,0.003232,-0.018350,-0.003726,0.000000,0.000000,0.000000
0.039000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.039000,3,8.240629,2.207162,0.000000,0.000000,-0.382006,0.000000,0.000000,0.000000,0.000000
0.046000,1,4.924204,0.867298,0.174341,0.003232,-0.018350,-0.003726,0.000000,0.000000,0.000000
0.046000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.046000,3,8.240629,2.204248,0.000000,0.000000,-0.450448,0.000000,0.000000,0.000000,0.000000
0.055000,1,4.924238,0.867101,0.174301,0.003231,-0.018350,-0.003726,0.000000,0.000000,0.000000
0.055000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.055000,3,8.240629,2.199798,0.000000,0.000000,-0.538389,0.000000,0.000000,0.000000,0.000000
0.063000,1,4.924269,0.866925,0.174266,0.003231,-0.018350,-0.003727,0.000000,0.000000,0.000000
0.063000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.063000,3,8.240629,2.195178,0.000000,0.000000,-0.616508,0.000000,0.000000,0.000000,0.000000
0.071000,1,4.924299,0.866750,0.174230,0.003230,-0.018351,-0.003727,0.000000,0.000000,0.000000
0.071000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.071000,3,8.240629,2.189934,0.000000,0.000000,-0.694577,0.000000,0.000000,0.000000,0.000000
0.081000,1,4.924337,0.866532,0.174186,0.003066,-0.017422,-0.003538,0.000000,0.000000,0.000000
0.081000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.081000,3,8.240629,2.182500,0.000000,0.000000,-0.792095,0.000000,0.000000,0.000000,0.000000
0.094000,1,4.924380,0.866287,0.174136,0.002256,-0.012824,-0.002604,0.000000,0.000000,0.000000
0.094000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.094000,3,8.240629,2.171380,0.000000,0.000000,-0.918753,0.000000,0.000000,0.000000,0.000000
0.099000,1,4.924395,0.866208,0.174120,0.001978,-0.011244,-0.002283,0.000000,0.000000,0.000000
0.099000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.099000,3,8.240629,2.166664,0.000000,0.000000,-0.967434,0.000000,0.000000,0.000000,0.000000
0.107000,1,4.924444,0.865924,0.174062,0.026146,-0.148692,-0.030195,0.000000,0.000000,0.000000
0.107000,2,7.908846,0.641889,0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000
0.107000,3,8.240566,2.159312,-0.000060,-0.030238,-0.275195,-0.036126,0.000000,0.000000,0.000000
0.115000,1,4.924563,0.865243,0.173924,0.005086,-0.028945,-0.005878,0.000000,0.000000,0.000000
0.115000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.115000,3,8.240545,2.158083,-0.000223,0.003755,-0.052907,-0.008058,0.000000,0.000000,0.000000
0.122000,1,4.924588,0.865105,0.173896,0.000922,-0.005249,-0.001066,0.000000,0.000000,0.000000
0.122000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.122000,3,8.240547,2.157834,-0.000258,-0.003557,-0.011628,-0.002405,0.000000,0.000000,0.000000
0.132000,1,4.924596,0.865059,0.173887,-0.000333,0.001894,0.000385,0.000000,0.000000,0.000000
0.132000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.132000,3,8.240493,2.157743,-0.000272,-0.006790,0.000616,-0.000697,0.000000,0.000000,0.000000
0.139000,1,4.924597,0.865051,0.173885,-0.000500,0.002846,0.000578,0.000000,0.000000,0.000000
0.139000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.139000,3,8.240444,2.157719,-0.000276,-0.007258,0.002237,-0.000472,0.000000,0.000000,0.000000
0.147000,1,4.924597,0.865047,0.173884,-0.000553,0.003150,0.000640,0.000000,0.000000,0.000000
0.147000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.147000,3,8.240383,2.157700,-0.000280,-0.007407,0.002755,-0.000401,0.000000,0.000000,0.000000
0.156000,1,4.924597,0.865044,0.173884,-0.000573,0.003264,0.000663,0.000000,0.000000,0.000000
0.156000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.156000,3,8.240314,2.157681,-0.000283,-0.007462,0.002947,-0.000375,0.000000,0.000000,0.000000
0.164000,1,4.924597,0.865041,0.173883,-0.000583,0.003318,0.000674,0.000000,0.000000,0.000000
0.164000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.164000,3,8.240253,2.157666,-0.000286,-0.007487,0.003037,-0.000364,0.000000,0.000000,0.000000
0.172000,1,4.924597,0.865040,0.173883,-0.000590,0.003357,0.000682,0.000000,0.000000,0.000000
0.172000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.172000,3,8.240192,2.157651,-0.000289,-0.007505,0.003103,-0.000356,0.000000,0.000000,0.000000
0.181000,1,4.924597,0.865038,0.173882,-0.000596,0.003394,0.000689,0.000000,0.000000,0.000000
0.181000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.181000,3,8.240124,2.157635,-0.000292,-0.007521,0.003164,-0.000348,0.000000,0.000000,0.000000
0.189000,1,4.924597,0.865036,0.173882,-0.000601,0.003420,0.000695,0.000000,0.000000,0.000000
0.189000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.189000,3,8.240063,2.157622,-0.000295,-0.007534,0.003209,-0.000343,0.000000,0.000000,0.000000
0.197000,1,4.924597,0.865035,0.173882,-0.000604,0.003441,0.000699,0.000000,0.000000,0.000000
0.197000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.197000,3,8.240002,2.157609,-0.000298,-0.007543,0.003244,-0.000338,0.000000,0.000000,0.000000
0.204000,1,4.924597,0.865035,0.173882,-0.000608,0.003459,0.000702,0.000000,0.000000,0.000000
0.204000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.204000,3,8.239948,2.157597,-0.000300,-0.007552,0.003275,-0.000335,0.000000,0.000000,0.000000
0.214000,1,4.924597,0.865034,0.173882,-0.000611,0.003481,0.000707,0.000000,0.000000,0.000000
0.214000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.214000,3,8.239872,2.157580,-0.000303,-0.007561,0.003310,-0.000330,0.000000,0.000000,0.000000
0.221000,1,4.924597,0.865033,0.173881,-0.000613,0.003491,0.000709,0.000000,0.000000,0.000000
0.221000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.221000,3,8.239819,2.157568,-0.000306,-0.007566,0.003327,-0.000328,0.000000,0.000000,0.000000
0.229000,1,4.924597,0.865033,0.173881,-0.000615,0.003500,0.000711,0.000000,0.000000,0.000000
0.229000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.229000,3,8.239758,2.157555,-0.000308,-0.007570,0.003343,-0.000326,0.000000,0.000000,0.000000
0.237000,1,4.924597,0.865032,0.173881,-0.000617,0.003510,0.000713,0.000000,0.000000,0.000000
0.237000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.237000,3,8.239697,2.157542,-0.000311,-0.007575,0.003360,-0.000324,0.000000,0.000000,0.000000
0.247000,1,4.924597,0.865032,0.173881,-0.000619,0.003522,0.000715,0.000000,0.000000,0.000000
0.247000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.247000,3,8.239620,2.157528,-0.000314,-0.007580,0.003380,-0.000321,0.000000,0.000000,0.000000
0.254000,1,4.924597,0.865031,0.173881,-0.000620,0.003530,0.000717,0.000000,0.000000,0.000000
0.254000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.254000,3,8.239567,2.157518,-0.000316,-0.007584,0.003393,-0.000320,0.000000,0.000000,0.000000
0.263000,1,4.924597,0.865031,0.173881,-0.000622,0.003539,0.000719,0.000000,0.000000,0.000000
0.263000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.263000,3,8.239498,2.157505,-0.000319,-0.007588,0.003408,-0.000318,0.000000,0.000000,0.000000
0.271000,1,4.924597,0.865031,0.173881,-0.000622,0.003542,0.000719,0.000000,0.000000,0.000000
0.271000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.271000,3,8.239437,2.157493,-0.000322,-0.007589,0.003413,-0.000317,0.000000,0.000000,0.000000
0.279000,1,4.924597,0.865031,0.173881,-0.000622,0.003542,0.000719,0.000000,0.000000,0.000000
0.279000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.279000,3,8.239376,2.157482,-0.000324,-0.007590,0.003414,-0.000317,0.000000,0.000000,0.000000
0.288000,1,4.924597,0.865031,0.173881,-0.000622,0.003542,0.000719,0.000000,0.000000,0.000000
0.288000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.288000,3,8.239307,2.157469,-0.000327,-0.007590,0.003414,-0.000317,0.000000,0.000000,0.000000
0.297000,1,4.924597,0.865031,0.173881,-0.000622,0.003542,0.000719,0.000000,0.000000,0.000000
0.297000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.297000,3,8.239239,2.157456,-0.000330,-0.007590,0.003414,-0.000317,0.000000,0.000000,0.000000
0.305000,1,4.924597,0.865031,0.173881,-0.000622,0.003543,0.000719,0.000000,0.000000,0.000000
0.305000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.305000,3,8.239178,2.157445,-0.000333,-0.007590,0.003414,-0.000317,0.000000,0.000000,0.000000
0.312000,1,4.924597,0.865031,0.173881,-0.000622,0.003543,0.000719,0.000000,0.000000,0.000000
0.312000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.312000,3,8.239124,2.157435,-0.000335,-0.007590,0.003414,-0.000317,0.000000,0.000000,0.000000
0.321000,1,4.924597,0.865031,0.173881,-0.000622,0.003543,0.000719,0.000000,0.000000,0.000000
0.321000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
