Timp,ID_Corp,PozitieX,PozitieY,UnghiPhi,VitezaX,VitezaY,VitezaOmega,AcceleratieX,AcceleratieY,AcceleratieEpsilon
0.002000,1,4.924041,0.868229,0.174530,0.001557,-0.008830,-0.001793,0.000000,0.000000,0.000000
0.002000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,3,8.240629,2.214596,0.000000,0.000000,-0.019618,0.000000,0.000000,0.000000,0.000000
0.010000,1,4.924067,0.868085,0.174501,0.003113,-0.017660,-0.003586,0.000000,0.000000,0.000000
0.010000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,3,8.240629,2.214125,0.000000,0.000000,-0.098062,0.000000,0.000000,0.000000,0.000000
0.018000,1,4.924097,0.867912,0.174466,0.003225,-0.018299,-0.003716,0.000000,0.000000,0.000000
0.018000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.018000,3,8.240629,2.213027,0.000000,0.000000,-0.176456,0.000000,0.000000,0.000000,0.000000
0.026000,1,4.924128,0.867737,0.174431,0.003233,-0.018346,-0.003726,0.000000,0.000000,0.000000
0.026000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.026000,3,8.240629,2.211302,0.000000,0.000000,-0.254800,0.000000,0.000000,0.000000,0.000000
0.034000,1,4.924158,0.867561,0.174395,0.003233,-0.018349,-0.003726,0.000000,0.000000,0.000000
0.034000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.034000,3,8.240629,2.208950,0.000000,0.000000,-0.333096,0.000000,0.000000,0.000000,0.000000
0.043000,1,4.924192,0.867364,0.174355,0.003232,-0.018350,-0.003726,0.000000,0.000000,0.000000
0.043000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.043000,3,8.240629,2.205555,0.000000,0.000000,-0.421120,0.000000,0.000000,0.000000,0.000000
0.050000,1,4.924219,0.867210,0.174324,0.003232,-0.018350,-0.003726,0.000000,0.000000,0.000000
0.050000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,3,8.240629,2.202368,0.000000,0.000000,-0.489541,0.000000,0.000000,0.000000,0.000000
0.059000,1,4.924253,0.867013,0.174284,0.003231,-0.018350,-0.003727,0.000000,0.000000,0.000000
0.059000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.059000,3,8.240629,2.197566,0.000000,0.000000,-0.577455,0.000000,0.000000,0.000000,0.000000
0.068000,1,4.924288,0.866816,0.174243,0.003230,-0.018351,-0.003727,0.000000,0.000000,0.000000
0.068000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.068000,3,8.240629,2.191974,0.000000,0.000000,-0.665307,0.000000,0.000000,0.000000,0.000000
0.076000,1,4.924318,0.866640,0.174208,0.003230,-0.018351,-0.003727,0.000000,0.000000,0.000000
0.076000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.076000,3,8.240629,2.186339,0.000000,0.000000,-0.743345,0.000000,0.000000,0.000000,0.000000
0.084000,1,4.924348,0.866470,0.174173,0.002882,-0.016381,-0.003327,0.000000,0.000000,0.000000
0.084000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.084000,3,8.240629,2.180080,0.000000,0.000000,-0.821335,0.000000,0.000000,0.000000,0.000000
0.093000,1,4.924377,0.866303,0.174139,0.002315,-0.013159,-0.002672,0.000000,0.000000,0.000000
0.093000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.093000,3,8.240629,2.172294,0.000000,0.000000,-0.909015,0.000000,0.000000,0.000000,0.000000
0.101000,1,4.924399,0.866179,0.174114,0.001874,-0.010655,-0.002164,0.000000,0.000000,0.000000
0.101000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.101000,3,8.240629,2.164710,0.000000,0.000000,-0.986901,0.000000,0.000000,0.000000,0.000000
0.109000,1,4.924493,0.865646,0.174006,0.017492,-0.099508,-0.020207,0.000000,0.000000,0.000000
0.109000,2,7.908846,0.641889,0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000
0.109000,3,8.240523,2.158804,-0.000126,-0.002708,-0.181227,-0.024729,0.000000,0.000000,0.000000
0.118000,1,4.924578,0.865162,0.173908,0.002616,-0.014889,-0.003023,0.000000,0.000000,0.000000
0.118000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.118000,3,8.240553,2.157938,-0.000244,0.000035,-0.028302,-0.004708,0.000000,0.000000,0.000000
0.127000,1,4.924594,0.865073,0.173890,0.000017,-0.000098,-0.000020,0.000000,0.000000,0.000000
0.127000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.127000,3,8.240524,2.157773,-0.000268,-0.005839,-0.002789,-0.001173,0.000000,0.000000,0.000000
0.134000,1,4.924597,0.865056,0.173886,-0.000403,0.002296,0.000466,0.000000,0.000000,0.000000
0.134000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.134000,3,8.240479,2.157734,-0.000274,-0.006987,0.001302,-0.000602,0.000000,0.000000,0.000000
0.142000,1,4.924597,0.865049,0.173885,-0.000528,0.003006,0.000610,0.000000,0.000000,0.000000
0.142000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.142000,3,8.240421,2.157711,-0.000278,-0.007337,0.002510,-0.000434,0.000000,0.000000,0.000000
0.150000,1,4.924597,0.865046,0.173884,-0.000562,0.003199,0.000650,0.000000,0.000000,0.000000
0.150000,2,7.908846,0.641889,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,3,8.240360,2.157693,-0.000281,-0.007431,0.002838,-0.000389,0.000000,0.000000,0.000000
