Timp,ID_Corp,PozitieX,PozitieY,UnghiPhi,VitezaX,VitezaY,VitezaOmega,AcceleratieX,AcceleratieY,AcceleratieEpsilon
0.0380,1,4.9241,0.8679,0.1745,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.0380,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0380,3,8.2406,2.2128,0.0000,0.0000,-0.1863,0.0000,0.0000,0.0000,0.0000
0.0720,1,4.9242,0.8675,0.1744,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.0720,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0720,3,8.2406,2.2083,0.0000,0.0000,-0.3527,0.0000,0.0000,0.0000,0.0000
0.0980,1,4.9242,0.8672,0.1743,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.0980,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0980,3,8.2406,2.2029,0.0000,0.0000,-0.4798,0.0000,0.0000,0.0000,0.0000
0.1200,1,4.9243,0.8670,0.1743,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.1200,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.1200,3,8.2406,2.1970,0.0000,0.0000,-0.5872,0.0000,0.0000,0.0000,0.0000
0.1520,1,4.9243,0.8666,0.1742,0.0032,-0.0183,-0.0037,0.0000,0.0000,0.0000
0.1520,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.1520,3,8.2406,2.1863,0.0000,0.0000,-0.7433,0.0000,0.0000,0.0000,0.0000
0.1840,1,4.9244,0.8663,0.1741,0.0024,-0.0134,-0.0027,0.0000,0.0000,0.0000
0.1840,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.1840,3,8.2406,2.1732,0.0000,0.0000,-0.8993,0.0000,0.0000,0.0000,0.0000
0.2180,1,4.9245,0.8656,0.1740,0.0175,-0.0995,-0.0202,0.0000,0.0000,0.0000
0.2180,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.2180,3,8.2405,2.1588,-0.0001,-0.0027,-0.1812,-0.0247,0.0000,0.0000,0.0000
0.2520,1,4.9246,0.8651,0.1739,0.0001,-0.0007,-0.0001,0.0000,0.0000,0.0000
0.2520,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.2520,3,8.2405,2.1578,-0.0003,-0.0055,-0.0039,-0.0013,0.0000,0.0000,0.0000
0.2880,1,4.9246,0.8651,0.1739,-0.0005,0.0031,0.0006,0.0000,0.0000,0.0000
0.2880,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.2880,3,8.2404,2.1577,-0.0003,-0.0074,0.0027,-0.0004,0.0000,0.0000,0.0000
0.3240,1,4.9246,0.8650,0.1739,-0.0006,0.0033,0.0007,0.0000,0.0000,0.0000
0.3240,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.3240,3,8.2403,2.1577,-0.0003,-0.0075,0.0030,-0.0004,0.0000,0.0000,0.0000
0.3520,1,4.9246,0.8650,0.1739,-0.0006,0.0034,0.0007,0.0000,0.0000,0.0000
0.3520,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.3520,3,8.2402,2.1576,-0.0003,-0.0075,0.0031,-0.0004,0.0000,0.0000,0.0000
0.3840,1,4.9246,0.8650,0.1739,-0.0006,0.0034,0.0007,0.0000,0.0000,0.0000
0.3840,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.3840,3,8.2400,2.1576,-0.0003,-0.0075,0.0032,-0.0003,0.0000,0.0000,0.0000
0.4180,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.4180,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
