Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
0.0380,0,44.3303,-18.8660,-40.1155,0.0000
0.0380,1,196.1994,0.0000,-196.1994,392.3985
0.0820,0,44.3088,-18.8632,-40.0930,0.0000
0.0820,1,196.1994,0.0000,-196.1994,392.3985
0.1040,0,44.3029,-18.8694,-40.0836,0.0000
0.1040,1,196.1994,0.0000,-196.1994,392.3985
0.1340,0,44.2889,-18.8681,-40.0687,0.0000
0.1340,1,196.1994,0.0000,-196.1994,392.3985
0.1620,0,44.2780,-18.8629,-40.0591,0.0000
0.1620,1,196.1994,0.0000,-196.1994,392.3985
0.2020,0,44.2794,-18.8540,-40.0649,0.0000
0.2020,1,196.1994,0.0000,-196.1994,392.3985
0.2340,0,44.2483,-18.8427,-40.0358,0.0000
0.2340,1,196.2003,0.0001,-196.2003,392.4008
0.2660,0,44.2706,-18.8236,-40.0694,0.0000
0.2660,1,196.1996,0.0000,-196.1996,392.3991
0.3000,0,44.2842,-18.8350,-40.0791,0.0000
0.3000,1,196.1996,0.0000,-196.1996,392.3990
0.3340,0,44.2970,-18.8403,-40.0908,0.0000
0.3340,1,196.1996,0.0000,-196.1996,392.3990
0.3700,0,44.3067,-18.8444,-40.0996,0.0000
0.3700,1,196.1996,0.0000,-196.1996,392.3990
0.3980,0,44.3124,-18.8467,-40.1047,0.0000
0.3980,1,196.1996,0.0000,-196.1996,392.3990
0.4300,0,44.3182,-18.8492,-40.1100,0.0000
0.4300,1,196.1996,0.0000,-196.1996,392.3990
0.4660,0,44.3223,-18.8509,-40.1137,0.0000
0.4660,1,196.1996,0.0000,-196.1996,392.3990
0.4980,0,44.3248,-18.8520,-40.1160,0.0000
0.4980,1,196.1996,0.0000,-196.1996,392.3990
0.5320,0,44.3277,-18.8532,-40.1186,0.0000
0.5320,1,196.1996,0.0000,-196.1996,392.3990
0.5620,0,44.3301,-18.8542,-40.1208,0.0000
0.5620,1,196.1996,0.0000,-196.1996,392.3990
0.5980,0,44.3301,-18.8542,-40.1208,0.0000
0.5980,1,196.1996,0.0000,-196.1996,392.3990
0.6320,0,44.3301,-18.8542,-40.1208,0.0000
0.6320,1,196.1996,0.0000,-196.1996,392.3989
0.6660,0,44.3301,-18.8542,-40.1208,0.0000
0.6660,1,196.1996,0.0000,-196.1996,392.3989
0.7000,0,44.3301,-18.8542,-40.1208,0.0000
0.7000,1,196.1996,0.0000,-196.1996,392.3990
0.7320,0,44.3301,-18.8542,-40.1208,0.0000
0.7320,1,196.1996,0.0000,-196.1996,392.3990
0.7660,0,44.3301,-18.8542,-40.1208,0.0000
0.7660,1,196.1996,0.0000,-196.1996,392.3989
0.7980,0,44.3301,-18.8542,-40.1208,0.0000
0.7980,1,196.1996,0.0000,-196.1996,392.3990
0.8320,0,44.3301,-18.8542,-40.1208,0.0000
0.8320,1,196.1996,0.0000,-196.1996,392.3989
0.8620,0,44.3301,-18.8542,-40.1208,0.0000
0.8620,1,196.1996,0.0000,-196.1996,392.3990
0.8960,0,44.3301,-18.8542,-40.1208,0.0000
0.8960,1,196.1996,0.0000,-196.1996,392.3989
0.9300,0,44.3301,-18.8542,-40.1208,0.0000
0.9300,1,196.1996,0.0000,-196.1996,392.3990
0.9640,0,44.3301,-18.8542,-40.1208,0.0000
0.9640,1,196.1996,0.0000,-196.1996,392.3989
0.9960,0,44.3301,-18.8542,-40.1208,0.0000
0.9960,1,196.1996,0.0000,-196.1996,392.3990
1.0300,0,44.3301,-18.8542,-40.1208,0.0000
1.0300,1,196.1996,0.0000,-196.1996,392.3990
1.0660,0,44.3301,-18.8542,-40.1208,0.0000
1.0660,1,196.1996,0.0000,-196.1996,392.3989
1.0980,0,44.3301,-18.8542,-40.1208,0.0000
1.0980,1,196.1996,0.0000,-196.1996,392.3989
1.1300,0,44.3301,-18.8542,-40.1208,0.0000
1.1300,1,196.1996,0.0000,-196.1996,392.3990
1.1640,0,44.3301,-18.8542,-40.1208,0.0000
1.1640,1,196.1996,0.0000,-196.1996,392.3990
1.1960,0,44.3301,-18.8542,-40.1208,0.0000
1.1960,1,196.1996,0.0000,-196.1996,392.3990
1.2300,0,44.3301,-18.8542,-40.1208,0.0000
1.2300,1,196.1996,0.0000,-196.1996,392.3990
1.2620,0,44.3301,-18.8542,-40.1208,0.0000
1.2620,1,196.1996,0.0000,-196.1996,392.3990
1.2980,0,44.3301,-18.8542,-40.1208,0.0000
1.2980,1,196.1996,0.0000,-196.1996,392.3990
1.3320,0,44.3301,-18.8542,-40.1208,0.0000
1.3320,1,196.1996,0.0000,-196.1996,392.3990
1.3620,0,44.3301,-18.8542,-40.1208,0.0000
1.3620,1,196.1996,0.0000,-196.1996,392.3990
1.3960,0,44.3301,-18.8542,-40.1208,0.0000
1.3960,1,196.1996,0.0000,-196.1996,392.3990
1.4300,0,44.3301,-18.8542,-40.1208,0.0000
